,audit,auditability,auditable,audited,auditees,auditing,auditor,auditors,audits,mean,,,,,,
1,0,0,0,1,0,5,1,0,0,0.78,,,,,,
2,1,0,0,0,0,3,0,0,0,0.44,,,,,,
3,0,0,0,0,0,1,0,0,0,0.11,,,,,,
4,0,1,0,0,0,1,0,0,0,0.22,,,,,,
5,2,0,0,1,0,8,0,0,0,1.22,,,,,,
6,10,0,0,0,0,1,0,0,1,1.33,,,,,,
7,0,0,0,0,0,1,0,0,0,0.11,,,,,,
8,8,0,0,0,0,3,0,0,0,1.22,,,,,,
9,1,0,0,0,0,4,0,0,0,0.56,,,,,,
10,0,0,0,0,0,2,0,0,0,0.22,,,,,,
11,0,0,0,0,0,1,0,0,0,0.11,,,,,,
12,0,0,0,0,0,2,0,0,0,0.22,,,,,,2.15E-23
13,7,0,0,0,0,4,0,0,0,1.22,,,,,,
14,6,0,0,0,0,1,2,2,0,1.22,,,,,,
15,0,0,0,0,0,1,0,2,0,0.33,,,,,,
16,1,0,0,0,0,1,0,0,0,0.22,,,,,,
17,16,0,0,0,1,4,0,1,0,2.44,,,,,,
18,6,0,0,1,0,1,7,5,2,2.44,,,,,,
19,5,0,0,0,0,1,0,0,0,0.67,,,,,,
20,0,0,0,0,0,2,0,0,0,0.22,,,,,,
21,9,0,0,0,0,1,0,1,0,1.22,,,,,,
22,2,0,0,0,0,1,0,2,0,0.56,,,,,,
23,0,0,1,0,0,0,0,0,0,0.11,,,,,,
24,0,0,0,0,0,4,0,1,0,0.56,,,,,,
25,0,0,0,0,0,6,0,2,0,0.89,,,,,,
26,0,0,0,0,0,1,0,0,0,0.11,,,,,,
27,18,0,0,0,0,6,3,14,0,4.56,,,,,,
28,0,0,0,0,0,2,0,0,1,0.33,,,,,,
29,2,0,0,0,0,18,1,0,0,2.33,,,,,,
30,0,0,0,0,0,1,1,0,0,0.22,,,,,,
31,0,0,0,0,0,1,0,0,0,0.11,,,,,,
Mean,3.03,0.03,0.03,0.10,0.03,2.84,0.48,0.97,0.13,,,,,,,
Sd,4.83,0.18,0.18,0.30,0.18,3.41,1.39,2.65,0.43,,,,,,,
Max,18,1,1,1,1,18,7,14,2,,,,,,,
Min ,0,0,0,0,0,0,0,0,0,,,,,,,
Median,0,0,0,0,0,1,0,0,0,,,,,,,
