,0,1,2,3,4
audit,0.3333333333333333,18.0,8.375,2.0,0.0
auditability,0.0,0.0,0.0,0.0,1.0
auditable,0.047619047619047616,0.0,0.0,0.0,0.0
audited,0.09523809523809523,0.0,0.125,0.0,0.0
auditees,0.0,0.0,0.125,0.0,0.0
auditing,2.238095238095238,6.0,2.0,18.0,1.0
auditor,0.09523809523809523,3.0,1.125,1.0,0.0
auditors,0.3333333333333333,14.0,1.125,0.0,0.0
audits,0.047619047619047616,0.0,0.375,0.0,0.0
blockchain,0.7142857142857143,0.0,0.0,0.0,11.0
blockchains,0.19047619047619047,0.0,0.0,0.0,0.0
fraud,1.0476190476190477,0.0,0.125,0.0,0.0
frauds,0.047619047619047616,0.0,0.0,0.0,0.0
fraudsters,0.047619047619047616,0.0,0.0,0.0,0.0
fraudulent,0.09523809523809523,0.0,0.0,0.0,0.0
protection,0.09523809523809523,0.0,0.0,0.0,0.0
quality,0.2857142857142857,0.0,0.5,2.0,0.0
risk,0.09523809523809523,3.0,0.125,0.0,0.0
risks,0.0,3.0,0.25,0.0,0.0
cybersecurity,0.047619047619047616,0.0,0.0,0.0,0.0
security,0.5238095238095238,0.0,0.125,0.0,0.0
service,0.19047619047619047,0.0,0.0,4.0,7.0
services,0.2857142857142857,1.0,0.0,4.0,0.0
technology,0.8571428571428571,1.0,0.875,0.0,5.0
